========================================
  IPGUI Timer Human-Centric Test Suite
========================================

[A] Precision tests
    p=500 d=5000: OK (12 fires)
    p=1000 d=0: OK (12 fires)
    p=1000 d=1: OK (12 fires)
    p=1000 d=7: OK (12 fires)
    p=1000 d=50: OK (12 fires)
    p=1000 d=300: OK (12 fires)
    p=1000 d=5000: OK (12 fires)
    p=1023 d=0: OK (12 fires)
    p=1023 d=1: OK (12 fires)
    p=1023 d=7: OK (12 fires)
    p=1023 d=50: OK (12 fires)
    p=1023 d=300: OK (12 fires)
    p=1023 d=5000: OK (12 fires)
    p=2048 d=0: OK (12 fires)
    p=2048 d=1: OK (12 fires)
    p=2048 d=7: OK (12 fires)
    p=2048 d=50: OK (12 fires)
    p=2048 d=300: OK (12 fires)
    p=2048 d=5000: OK (12 fires)
    p=4096 d=0: OK (12 fires)
    p=4096 d=1: OK (12 fires)
    p=4096 d=7: OK (12 fires)
    p=4096 d=50: OK (12 fires)
    p=4096 d=300: OK (12 fires)
    p=4096 d=5000: OK (12 fires)
    p=5000 d=0: OK (12 fires)
    p=5000 d=1: OK (12 fires)
    p=5000 d=7: OK (12 fires)
    p=5000 d=50: OK (12 fires)
    p=5000 d=300: OK (12 fires)
    p=5000 d=5000: OK (12 fires)
    p=10000 d=0: OK (11 fires)
    p=10000 d=1: OK (10 fires)
    p=10000 d=7: OK (10 fires)
    p=10000 d=50: OK (10 fires)
    p=10000 d=300: OK (10 fires)
    p=10000 d=5000: OK (10 fires)
[B] One-shot & rounds
[C] Start / Stop / Restart
[D] Extreme values
[E] Concurrent
[F] Callback safety
