"filename", "language", "C", "C++", "HTML", "Markdown", "XML", "Python", "ARM", "CMake", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2Config.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 82, 0, 20, 102
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2ConfigVersion.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 38, 0, 6, 44
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2Targets-release.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2Targets.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 98, 0, 13, 111
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2mainTargets-release.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2mainTargets.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 97, 0, 13, 110
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2staticTargets-release.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2staticTargets.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 99, 0, 13, 112
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2testTargets-release.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\SDL2testTargets.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 96, 0, 13, 109
"m:\test\ESDBox_IPGUI\port\sdl\lib\cmake\SDL2\sdlfind.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"m:\test\ESDBox_IPGUI\port\sdl\sdl_draw.c", "C", 53, 0, 0, 0, 0, 0, 0, 0, 37, 15, 105
"m:\test\ESDBox_IPGUI\port\sdl\sdl_draw.h", "C", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"m:\test\ESDBox_IPGUI\port\sdl\sdl_input_event.c", "C", 55, 0, 0, 0, 0, 0, 0, 0, 3, 8, 66
"m:\test\ESDBox_IPGUI\port\sdl\sdl_input_event.h", "C", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"m:\test\ESDBox_IPGUI\tools\animation_simulator.html", "HTML", 0, 0, 592, 0, 0, 0, 0, 0, 2, 66, 660
"m:\test\ESDBox_IPGUI\tools\box_shadow_algorithm_visual.html", "HTML", 0, 0, 2057, 0, 0, 0, 0, 0, 9, 227, 2293
"m:\test\ESDBox_IPGUI\tools\box_shadow_tool.html", "HTML", 0, 0, 513, 0, 0, 0, 0, 0, 0, 60, 573
"m:\test\ESDBox_IPGUI\tools\draw_image_api_tool.html", "HTML", 0, 0, 619, 0, 0, 0, 0, 0, 2, 70, 691
"m:\test\ESDBox_IPGUI\tools\draw_tile_image.html", "HTML", 0, 0, 599, 0, 0, 0, 0, 0, 2, 21, 622
"m:\test\ESDBox_IPGUI\tools\event-bubble-demo.html", "HTML", 0, 0, 87, 0, 0, 0, 0, 0, 0, 13, 100
"m:\test\ESDBox_IPGUI\tools\gradient_tool.html", "HTML", 0, 0, 419, 0, 0, 0, 0, 0, 7, 55, 481
"m:\test\ESDBox_IPGUI\tools\inertial_scroll.html", "HTML", 0, 0, 341, 0, 0, 0, 0, 0, 4, 48, 393
"m:\test\ESDBox_IPGUI\tools\polygon_tool.html", "HTML", 0, 0, 532, 0, 0, 0, 0, 0, 0, 62, 594
"m:\test\ESDBox_IPGUI\tools\render_dfs_verify.html", "HTML", 0, 0, 324, 0, 0, 0, 0, 0, 0, 29, 353
"m:\test\ESDBox_IPGUI\tools\scroll-demo.html", "HTML", 0, 0, 472, 0, 0, 0, 0, 0, 5, 47, 524
"m:\test\ESDBox_IPGUI\tools\test_pipeline.html", "HTML", 0, 0, 415, 0, 0, 0, 0, 0, 0, 34, 449
"m:\test\ESDBox_IPGUI\tools\test_pointer_event_convert.html", "HTML", 0, 0, 305, 0, 0, 0, 0, 0, 0, 44, 349
"m:\test\ESDBox_IPGUI\tools\widget_tree_tool.html", "HTML", 0, 0, 488, 0, 0, 0, 0, 0, 0, 57, 545
"m:\test\ESDBox_IPGUI\tools\提取png的alpha通道\png_to_icon_mask.py", "Python", 0, 0, 0, 0, 0, 47, 0, 0, 14, 17, 78
"m:\test\ESDBox_IPGUI\tools\提取png的alpha通道\用法.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"m:\test\ESDBox_IPGUI\widget\inc\ipgui_button.h", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\widget\inc\ipgui_switch.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\widget\src\ipgui_widget1_arc.c", "C", 183, 0, 0, 0, 0, 0, 0, 0, 24, 42, 249
"m:\test\ESDBox_IPGUI\widget\src\ipgui_widget2_arc_dash.c", "C", 9, 0, 0, 0, 0, 0, 0, 0, 40, 9, 58
"m:\test\ESDBox_IPGUI\widget\src\ipgui_widget3_wave.c", "C", 94, 0, 0, 0, 0, 0, 0, 0, 8, 16, 118
"m:\test\ESDBox_IPGUI\widget\src\ipgui_widget4_bg.c", "C", 25, 0, 0, 0, 0, 0, 0, 0, 11, 6, 42
