"filename", "language", "Makefile", "C", "C++", "Ini", "CMake", "Markdown", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\composite\blend_icon\ipgui_blend_icon.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\composite\blend_icon\ipgui_blend_icon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c", "C", 0, 1896, 0, 0, 0, 0, 60, 118, 2074
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h", "C++", 0, 0, 51, 0, 0, 0, 29, 20, 100
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.c", "C", 0, 50, 0, 0, 0, 0, 0, 1, 51
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.h", "C++", 0, 0, 34, 0, 0, 0, 3, 9, 46
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend_mode.h", "C++", 0, 0, 8, 0, 0, 0, 0, 2, 10
"m:\test\ESDBox_IPGUI\core\composite\ipgui_color.h", "C", 0, 25, 0, 0, 0, 0, 0, 7, 32
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_box_style.h", "C++", 0, 0, 14, 0, 0, 0, 5, 4, 23
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.c", "C", 0, 378, 0, 0, 0, 0, 27, 58, 463
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.h", "C++", 0, 0, 41, 0, 0, 0, 0, 11, 52
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.c", "C", 0, 199, 0, 0, 0, 0, 26, 35, 260
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.h", "C++", 0, 0, 23, 0, 0, 0, 3, 8, 34
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.c", "C", 0, 203, 0, 0, 0, 0, 25, 36, 264
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.h", "C++", 0, 0, 24, 0, 0, 0, 0, 6, 30
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.c", "C", 0, 103, 0, 0, 0, 0, 324, 59, 486
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.h", "C++", 0, 0, 33, 0, 0, 0, 40, 14, 87
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.c", "C", 0, 148, 0, 0, 0, 0, 19, 31, 198
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.h", "C++", 0, 0, 64, 0, 0, 0, 6, 14, 84
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.c", "C", 0, 390, 0, 0, 0, 0, 58, 64, 512
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.h", "C++", 0, 0, 21, 0, 0, 0, 4, 6, 31
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c", "C", 0, 436, 0, 0, 0, 0, 21, 62, 519
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.h", "C++", 0, 0, 40, 0, 0, 0, 3, 13, 56
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_pixel.c", "C", 0, 34, 0, 0, 0, 0, 2, 8, 44
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_pixel.h", "C++", 0, 0, 20, 0, 0, 0, 0, 5, 25
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon.c", "C", 0, 772, 0, 0, 0, 0, 76, 146, 994
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon.h", "C", 0, 84, 0, 0, 0, 0, 23, 23, 130
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon回退用.c", "C", 0, 0, 0, 0, 0, 0, 757, 118, 875
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_triangle.c", "C", 0, 251, 0, 0, 0, 0, 12, 35, 298
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_triangle.h", "C++", 0, 0, 23, 0, 0, 0, 3, 8, 34
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_halfplane_mask.c", "C", 0, 159, 0, 0, 0, 0, 14, 26, 199
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_halfplane_mask.h", "C++", 0, 0, 53, 0, 0, 0, 2, 16, 71
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.c", "C", 0, 308, 0, 0, 0, 0, 40, 46, 394
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.h", "C++", 0, 0, 43, 0, 0, 0, 0, 13, 56
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_gradient_color.c", "C", 0, 497, 0, 0, 0, 0, 54, 79, 630
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_gradient_color.h", "C++", 0, 0, 82, 0, 0, 0, 15, 33, 130
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.c", "C", 0, 31, 0, 0, 0, 0, 0, 6, 37
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.h", "C++", 0, 0, 6, 0, 0, 0, 2, 4, 12
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.c", "C", 0, 31, 0, 0, 0, 0, 0, 6, 37
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.h", "C++", 0, 0, 6, 0, 0, 0, 2, 4, 12
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_gradient.c", "C", 0, 303, 0, 0, 0, 0, 9, 55, 367
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_gradient.h", "C++", 0, 0, 93, 0, 0, 0, 25, 30, 148
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_ring_mask.c", "C", 0, 632, 0, 0, 0, 0, 49, 101, 782
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_ring_mask.h", "C++", 0, 0, 34, 0, 0, 0, 1, 8, 43
"m:\test\ESDBox_IPGUI\core\gfx\readme.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 14, 67
"m:\test\ESDBox_IPGUI\core\image\decoder\bmp\ipgui_bmp_dec.c", "C", 0, 434, 0, 0, 0, 0, 133, 93, 660
"m:\test\ESDBox_IPGUI\core\image\decoder\bmp\ipgui_bmp_dec.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif_dec.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif_enc.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\ipgui_image_dec.c", "C", 0, 38, 0, 0, 0, 0, 3, 7, 48
"m:\test\ESDBox_IPGUI\core\image\decoder\ipgui_image_dec.h", "C++", 0, 0, 38, 0, 0, 0, 2, 9, 49
"m:\test\ESDBox_IPGUI\core\image\decoder\jpeg\ipgui_jpeg.c", "C", 0, 789, 0, 0, 0, 0, 54, 94, 937
"m:\test\ESDBox_IPGUI\core\image\decoder\jpeg\ipgui_jpeg.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_inflate.c", "C", 0, 253, 0, 0, 0, 0, 24, 54, 331
"m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_dec.c", "C", 0, 189, 0, 0, 0, 0, 15, 32, 236
"m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_dec.h", "C++", 0, 0, 38, 0, 0, 0, 6, 13, 57
"m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_filter.c", "C", 0, 301, 0, 0, 0, 0, 29, 50, 380
"m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi_dec.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi_enc.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\ipgui_image.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\ipgui_image.h", "C", 0, 16, 0, 0, 0, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_enhance.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_geometry_transform.c", "C", 0, 411, 0, 0, 0, 0, 96, 62, 569
"m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_geometry_transform.h", "C++", 0, 0, 31, 0, 0, 0, 4, 6, 41
"m:\test\ESDBox_IPGUI\core\image\show\ipgui_image_ras.c", "C", 0, 0, 0, 0, 0, 0, 68, 13, 81
"m:\test\ESDBox_IPGUI\core\image\show\ipgui_image_ras.h", "C++", 0, 0, 36, 0, 0, 0, 6, 10, 52
"m:\test\ESDBox_IPGUI\core\image\show\ipgui_image_ras_ori_mode..c", "C", 0, 1, 0, 0, 0, 0, 0, 2, 3
"m:\test\ESDBox_IPGUI\core\misc\ipgui_angle.h", "C++", 0, 0, 22, 0, 0, 0, 19, 8, 49
"m:\test\ESDBox_IPGUI\core\misc\ipgui_graphic2.h", "C", 0, 6, 0, 0, 0, 0, 14, 3, 23
