"filename", "language", "C", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c", "C", -4, 0, -6, -10
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.c", "C", 98, 21, 10, 129
"m:\test\main.c", "C", 39, -43, -3, -7
"Total", "-", 133, -22, 1, 112
