"filename", "language", "Makefile", "XML", "C", "HTML", "C++", "Markdown", "Log", "Ini", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\composite\blend_icon\ipgui_blend_icon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c", "C", 0, 0, 27, 0, 0, 0, 0, 0, 1, 1, 29
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h", "C++", 0, 0, 0, 0, -2, 0, 0, 0, -1, -1, -4
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend_mode.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\composite\ipgui_color.h", "C", 0, 0, -25, 0, 0, 0, 0, 0, 0, -7, -32
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.c", "C", 0, 0, 83, 0, 0, 0, 0, 0, -272, -27, -216
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.h", "C++", 0, 0, 0, 0, -8, 0, 0, 0, -32, -7, -47
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.c", "C", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.h", "C++", 0, 0, 0, 0, 16, 0, 0, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.c", "C", 0, 0, -22, 0, 0, 0, 0, 0, -4, -3, -29
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.h", "C++", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -2
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_api.c", "C", 0, 0, 134, 0, 0, 0, 0, 0, 1, 24, 159
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_api.h", "C++", 0, 0, 0, 0, 40, 0, 0, 0, 11, 8, 59
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_ex.c", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_ex.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.h", "C++", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_pixel.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon.h", "C", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -2
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon回退用.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, -757, -118, -875
